Gene_name,Rank
PARP14,4.199981593538672
CENPN,4.195163353952376
ENSG00000285570,4.195125602256409
LILRA4,4.195101711966172
RPL26L1,4.194661988310099
ENSG00000303104,4.190165452294687
ENSG00000256982,4.190015115224256
IL4I1,4.189927430662184
EEF1AKMT4,4.189605892840891
HINT1,4.18927185448196
DBI,4.187408200534512
IFI16,4.1874026072833
SKA3,4.187388628011389
PRMT5,4.186780246521736
H3C8,4.18580711301596
ENSG00000261572,4.184881654045294
SLC25A13,4.182945543956468
ENSG00000308012,4.180654688030821
CSTF2,4.173707901539271
PPARGC1B,4.173644550094159
HDAC1,4.173183742264167
MCM4,4.172483375950483
MAP7-AS1,4.169971838902024
SLC6A14P2,4.169927615988178
NABP2,4.169744458575427
TAF1D,4.169648431685375
SUCLG1,4.168906221781814
TLL2,4.168187888392441
ENSG00000290385,4.164021086992722
GPT2,4.161367929190627
MIS18A,4.160950672089942
FBXO6,4.160437320913964
NPM3,4.160141337385142
ENSG00000233191,4.159224969652185
NDRG4,4.1589664891238
CRCT1,4.157797762850913
VPS29,4.155640312545374
PDCD2,4.154390222824804
NUF2,4.151993910871071
MRPL47,4.15036891573514
ENSG00000298162,4.1479024930706565
GRHL3-AS1,4.147378786702223
ATP5MK,4.145646620569573
GINS1,4.144580632094864
MRPL46,4.144149653287707
PGLYRP2,4.14260648925318
NMI,4.141976870879322
SLC28A3,4.139256694220192
PGD,4.137510629377231
ENSG00000279314,4.136970747930508
PRAL,4.135945063051807
LIPE-AS1,4.135896957076081
AREL1,4.135213186416146
PARP12,4.135137818040439
POLE3,4.135136658102635
ENSG00000299986,4.134395794553613
NDUFB8,4.134145333115422
CYP24A1,4.132630810953804
CYP4F22,4.132406206354441
SBNO2,4.132316510174583
ENSG00000291113,4.1280020904612025
TPMT,4.127494184634655
