Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543037_1	(1.0, 48.61641957108998)	(2.0, 9.052209681874723)	(3.0, 3.85411995604183)	(4.0, 2.212377166892176)	(5.0, 1.5156134698668318)	(6.0, 1.0930217314146606)	(7.0, 0.9022157022391649)	(8.0, 0.6747614842885851)	(9.0, 0.5812008725072527)	('>10', 7.063859504011647)	('>50', 2.452114369095611)	('>100', 4.625427247625554)	('>500', 2.3643679307330587)	('>1k', 7.010556412940848)	('>5k', 3.7654935672663035)	('>10k+', 4.2162413321118315)
SRR7543037_2	(1.0, 49.98837031458766)	(2.0, 9.042397268370776)	(3.0, 3.543619527352525)	(4.0, 2.0385442555162)	(5.0, 1.3295718012850892)	(6.0, 1.030880900690487)	(7.0, 0.7711888031746801)	(8.0, 0.619958783313437)	(9.0, 0.5691927602059512)	('>10', 7.018099972436925)	('>50', 2.115667603964556)	('>100', 4.042125910198497)	('>500', 2.3992099771854165)	('>1k', 8.577857746855704)	('>5k', 4.2809841137202)	('>10k+', 2.6323302611419694)
SRR7543037_clean_1	(1.0, 47.39181773875276)	(2.0, 9.25199678164545)	(3.0, 3.9677478320856636)	(4.0, 2.3099073608936)	(5.0, 1.5330031829918398)	(6.0, 1.155444917550241)	(7.0, 0.8851569443017089)	(8.0, 0.7322159392077728)	(9.0, 0.5708647284652628)	('>10', 7.204094533930859)	('>50', 2.4289354850237883)	('>100', 4.544346884871845)	('>500', 2.3752356982350906)	('>1k', 7.369956885260547)	('>5k', 3.8240294699145556)	('>10k+', 4.455245616868994)
SRR7543037_clean_2	(1.0, 50.18668492964905)	(2.0, 9.011800087794912)	(3.0, 3.571262484339822)	(4.0, 2.0236268974363947)	(5.0, 1.3576665950038627)	(6.0, 1.0283959217425687)	(7.0, 0.7699676076505773)	(8.0, 0.6333428614875464)	(9.0, 0.5619048123512436)	('>10', 6.985068194930733)	('>50', 2.0846574851643673)	('>100', 4.068701603166306)	('>500', 2.3888772016082944)	('>1k', 8.633819517262891)	('>5k', 4.083465179859783)	('>10k+', 2.6107586205517213)
SRR7543038_1	(1.0, 33.37224352765222)	(2.0, 8.546401108724229)	(3.0, 4.312402440141834)	(4.0, 2.8525595899732337)	(5.0, 2.1187734763059605)	(6.0, 1.617138148183322)	(7.0, 1.294351603485929)	(8.0, 1.0189921334967211)	(9.0, 0.9546595708796365)	('>10', 10.174850943104648)	('>50', 3.4027370354298307)	('>100', 6.7771578684241645)	('>500', 2.6024366462118373)	('>1k', 7.561710685861099)	('>5k', 4.220902475421865)	('>10k+', 9.172682746703611)
SRR7543038_2	(1.0, 34.146324161221834)	(2.0, 9.07720963679954)	(3.0, 4.493086937169907)	(4.0, 2.908688966881319)	(5.0, 1.9817011678578171)	(6.0, 1.5020024183512273)	(7.0, 1.1527476728549526)	(8.0, 1.0048788655966283)	(9.0, 0.827375856314291)	('>10', 9.788780038918805)	('>50', 3.1538527248121504)	('>100', 6.190520962704976)	('>500', 2.425744109497086)	('>1k', 8.670281478321229)	('>5k', 5.325222002827443)	('>10k+', 7.351582999870936)
SRR7543038_clean_1	(1.0, 31.92524108347181)	(2.0, 8.628126947531694)	(3.0, 4.4481874048073236)	(4.0, 2.8861044622545884)	(5.0, 2.188544546892115)	(6.0, 1.6663794588983833)	(7.0, 1.318467560254873)	(8.0, 1.0781925057423396)	(9.0, 0.9462336534270316)	('>10', 10.422463494009548)	('>50', 3.3750719349992733)	('>100', 6.7309211738705566)	('>500', 2.5891764723785933)	('>1k', 7.723214863453548)	('>5k', 4.410729627711869)	('>10k+', 9.662944810296556)
SRR7543038_clean_2	(1.0, 34.26934714196034)	(2.0, 9.152578315252216)	(3.0, 4.435607585483374)	(4.0, 2.9495267595981667)	(5.0, 2.0131819498924464)	(6.0, 1.4724733510787302)	(7.0, 1.1643889317827834)	(8.0, 1.0154907053900253)	(9.0, 0.8299875489838362)	('>10', 9.786139072381454)	('>50', 3.1735292151297405)	('>100', 6.190270699885874)	('>500', 2.426212655706914)	('>1k', 8.745893848332912)	('>5k', 5.232645736893201)	('>10k+', 7.14272648224818)
SRR7543039_1	(1.0, 28.946002262292602)	(2.0, 8.381472079843853)	(3.0, 4.5281150067624125)	(4.0, 3.0032588130751603)	(5.0, 2.168182330713433)	(6.0, 1.6916769408934207)	(7.0, 1.4263891719553665)	(8.0, 1.1748931978471788)	(9.0, 0.961038915355259)	('>10', 11.1809846374379)	('>50', 3.5791505608360508)	('>100', 7.402923825113083)	('>500', 2.905187937352938)	('>1k', 7.894949262635374)	('>5k', 3.893152174543642)	('>10k+', 10.862622883342347)
SRR7543039_2	(1.0, 30.06837512161904)	(2.0, 8.885965110219356)	(3.0, 4.624919247000297)	(4.0, 2.9887094161959693)	(5.0, 2.0980720415556866)	(6.0, 1.644189391428028)	(7.0, 1.292885964394798)	(8.0, 1.0588528510328539)	(9.0, 0.8996862562474185)	('>10', 10.444169027178157)	('>50', 3.311778993824608)	('>100', 6.846248854190056)	('>500', 2.6055333178789923)	('>1k', 8.915862235654634)	('>5k', 5.413540133682835)	('>10k+', 8.901212037897318)
