"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 4","5","149","109","17715","1.32e-2","4.22e-1","5.45","1.00e+0","4.16e-1","2.28e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 3","5","149","109","17715","1.32e-2","4.22e-1","5.45","1.00e+0","4.16e-1","2.28e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"GOTERM_MF_DIRECT","mRNA regulatory element binding translation repressor activity","3","143","21","16905","1.33e-2","3.47e-1","16.89","9.85e-1","3.40e-1","7.05e-4","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"INTERPRO","Cadherin_CS","5","149","111","17928","1.35e-2","5.06e-1","5.42","9.99e-1","5.01e-1","2.34e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"KEGG_PATHWAY","MAPK signaling pathway","8","71","289","7870","1.39e-2","1.00e+0","3.07","9.27e-1","1.00e+0","4.28e-3","ENSG00000120129,ENSG00000153956,ENSG00000145431,ENSG00000177606,ENSG00000123358,ENSG00000196557,ENSG00000170345,ENSG00000138798"
"GOTERM_BP_DIRECT","chondrocyte differentiation","4","140","60","16488","1.41e-2","4.69e-1","7.85","1.00e+0","4.67e-1","1.68e-3","ENSG00000118523,ENSG00000143867,ENSG00000120708,ENSG00000134532"
"GOTERM_CC_DIRECT","extracellular matrix","10","147","453","17412","1.42e-2","1.00e+0","2.61","9.28e-1","1.00e+0","5.15e-3","ENSG00000124749,ENSG00000118523,ENSG00000142871,ENSG00000012171,ENSG00000124159,ENSG00000120708,ENSG00000134917,ENSG00000090006,ENSG00000117525,ENSG00000156218"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 1","5","149","112","17715","1.45e-2","4.22e-1","5.31","1.00e+0","4.16e-1","2.57e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 2","5","149","112","17715","1.45e-2","4.22e-1","5.31","1.00e+0","4.16e-1","2.57e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"GOTERM_BP_DIRECT","3'-UTR-mediated mRNA destabilization","3","140","22","16488","1.46e-2","4.69e-1","16.06","1.00e+0","4.67e-1","8.20e-4","ENSG00000152518,ENSG00000185650,ENSG00000128016"
