"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","regulation of multicellular organismal development","4","114","20","16968","3.02e-4","1.40e-1","29.77","2.58e-1","1.38e-1","8.62e-6","ENSG00000142871,ENSG00000128342,ENSG00000109906,ENSG00000157368"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","11","114","398","16968","3.27e-4","1.40e-1","4.11","2.76e-1","1.38e-1","7.62e-5","ENSG00000164056,ENSG00000128342,ENSG00000120129,ENSG00000136158,ENSG00000136244,ENSG00000134917,ENSG00000109906,ENSG00000177606,ENSG00000154734,ENSG00000169083,ENSG00000102760"
"GOTERM_BP_DIRECT","extracellular matrix organization","7","114","157","16968","6.38e-4","1.40e-1","6.64","4.68e-1","1.38e-1","9.13e-5","ENSG00000142871,ENSG00000120708,ENSG00000132561,ENSG00000134917,ENSG00000122707,ENSG00000156218,ENSG00000154734"
"GOTERM_BP_DIRECT","negative regulation of mitotic cell cycle phase transition","3","114","6","16968","6.48e-4","1.40e-1","74.42","4.74e-1","1.38e-1","5.82e-6","ENSG00000152518,ENSG00000185650,ENSG00000102760"
"GOTERM_MF_DIRECT","DNA-binding transcription activator activity, RNA polymerase II-specific","11","118","436","17376","7.29e-4","5.19e-2","3.72","1.88e-1","5.09e-2","1.88e-4","ENSG00000143995,ENSG00000120093,ENSG00000120738,ENSG00000109906,ENSG00000177606,ENSG00000123358,ENSG00000170345,ENSG00000162772,ENSG00000067082,ENSG00000169083,ENSG00000125740"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","43","122","3975","18235","7.36e-4","1.33e-1","1.62","4.19e-1","1.32e-1","4.44e-4","ENSG00000262576,ENSG00000125384,ENSG00000155011,ENSG00000152580,ENSG00000153956,ENSG00000122707,ENSG00000152785,ENSG00000168490,ENSG00000092096,ENSG00000111452,ENSG00000154864,ENSG00000168671,ENSG00000174808,ENSG00000162591,ENSG00000145431,ENSG00000020181,ENSG00000107331,ENSG00000197093,ENSG00000108684,ENSG00000182667,ENSG00000158813,ENSG00000128342,ENSG00000073067,ENSG00000012171,ENSG00000169252,ENSG00000111962,ENSG00000136244,ENSG00000132561,ENSG00000117525,ENSG00000196557,ENSG00000157368,ENSG00000156218,ENSG00000154734,ENSG00000170558,ENSG00000124749,ENSG00000118523,ENSG00000167972,ENSG00000101825,ENSG00000080224,ENSG00000253537,ENSG00000134917,ENSG00000144057,ENSG00000180875"
"GOTERM_BP_DIRECT","positive regulation of miRNA transcription","5","114","62","16968","7.73e-4","1.40e-1","12.00","5.35e-1","1.38e-1","5.98e-5","ENSG00000136244,ENSG00000120738,ENSG00000177606,ENSG00000170345,ENSG00000169083"
"INTERPRO","TSP1_rpt_sf","5","122","64","18453","8.25e-4","7.61e-2","11.82","3.02e-1","7.56e-2","6.49e-5","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000156218,ENSG00000154734"
"INTERPRO","TSP1_rpt","5","122","65","18453","8.75e-4","7.61e-2","11.63","3.17e-1","7.56e-2","7.00e-5","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000156218,ENSG00000154734"
"UP_SEQ_FEATURE","REGION:Leucine-zipper","6","122","112","18235","9.02e-4","1.33e-1","8.01","4.85e-1","1.32e-1","1.06e-4","ENSG00000157514,ENSG00000102804,ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
