"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_KW_BIOLOGICAL_PROCESS","Lipid metabolism","26","236","746","10631","2.42e-2","2.56e-1","1.57","9.25e-1","2.42e-1","1.45e-2","ENSG00000138678,ENSG00000196344,ENSG00000227471,ENSG00000139547,ENSG00000151117,ENSG00000104549,ENSG00000174951,ENSG00000177628,ENSG00000171124,ENSG00000196743,ENSG00000172893,ENSG00000159337,ENSG00000006831,ENSG00000165389,ENSG00000161267,ENSG00000102886,ENSG00000198074,ENSG00000070610,ENSG00000112972,ENSG00000159346,ENSG00000164181,ENSG00000115488,ENSG00000176920,ENSG00000240891,ENSG00000100596,ENSG00000148459"
"UP_KW_MOLECULAR_FUNCTION","Serine protease","8","238","132","10932","2.47e-2","2.54e-1","2.78","8.35e-1","2.40e-1","8.17e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000140479,ENSG00000129437"
"GOTERM_BP_DIRECT","regulation of mitochondrial membrane permeability","3","355","12","16968","2.49e-2","8.53e-1","11.95","1.00e+0","8.46e-1","1.74e-3","ENSG00000168610,ENSG00000005022,ENSG00000108179"
"GOTERM_BP_DIRECT","glycosphingolipid catabolic process","3","355","12","16968","2.49e-2","8.53e-1","11.95","1.00e+0","8.46e-1","1.74e-3","ENSG00000070610,ENSG00000196743,ENSG00000115488"
"GOTERM_MF_DIRECT","nucleotidyltransferase activity","5","360","54","17376","2.52e-2","1.00e+0","4.47","1.00e+0","9.99e-1","5.11e-3","ENSG00000138496,ENSG00000089127,ENSG00000111335,ENSG00000111331,ENSG00000135114"
"GOTERM_CC_DIRECT","tertiary granule lumen","5","365","55","17924","2.53e-2","6.89e-1","4.46","1.00e+0","6.84e-1","5.15e-3","ENSG00000134827,ENSG00000116260,ENSG00000137563,ENSG00000171236,ENSG00000160213"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","14","335","348","16502","2.56e-2","3.41e-1","1.98","6.45e-1","3.41e-1","1.20e-2","ENSG00000237289,ENSG00000110955,ENSG00000101084,ENSG00000284194,ENSG00000134321,ENSG00000131174,ENSG00000181061,ENSG00000247077,ENSG00000223572,ENSG00000126709,ENSG00000005022,ENSG00000161267,ENSG00000102743,ENSG00000164466"
"GOTERM_BP_DIRECT","cellular response to type II interferon","6","355","80","16968","2.59e-2","8.70e-1","3.58","1.00e+0","8.62e-1","6.59e-3","ENSG00000114251,ENSG00000154451,ENSG00000115415,ENSG00000162645,ENSG00000007171,ENSG00000183347"
"GOTERM_BP_DIRECT","glycosphingolipid biosynthetic process","4","355","31","16968","2.63e-2","8.70e-1","6.17","1.00e+0","8.62e-1","3.79e-3","ENSG00000165389,ENSG00000174951,ENSG00000100596,ENSG00000176920"
"GOTERM_BP_DIRECT","negative regulation of interleukin-6 production","5","355","55","16968","2.76e-2","8.98e-1","4.35","1.00e+0","8.90e-1","5.76e-3","ENSG00000160703,ENSG00000177628,ENSG00000136695,ENSG00000272398,ENSG00000163874"
"INTERPRO","Peptidase_S1_PA","7","373","114","18453","2.80e-2","1.00e+0","3.04","1.00e+0","9.97e-1","8.46e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000129437"
"INTERPRO","PyrdxlP-dep_Trfase_small","4","373","33","18453","2.84e-2","1.00e+0","6.00","1.00e+0","9.97e-1","4.23e-3","ENSG00000115919,ENSG00000120053,ENSG00000100596,ENSG00000125166"
"UP_SEQ_FEATURE","REPEAT:3","10","374","209","18235","2.85e-2","1.00e+0","2.33","1.00e+0","1.00e+0","1.12e-2","ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000163209,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000241794,ENSG00000049283,ENSG00000119686"
